,imdbid,title,year,genres,director,writer,cast,runtime,country,language,rating,plot
0,2399574,# (2012),2012,"Short, Comedy",Zak Longo,Eddie Klein,"Bianca Siavoshy (Allison), Rhoda Pell (Sarah), Eugene Kim (Adam), Maronzio Vance (Buster), Eddie Klein (Dave)",15,USA,English,,"After too many beers, Adam leaves the worst voice-mail in the history of voice-mails for the girl of his dreams"
1,2193021,"""Arrow"" (2012)",2012,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi","John Behring, Michael Schultz, Guy Norman Bee, Nick Copus, Glen Winter, Wendey Stanzler, Eagle Egilsson, Jesse Warn, David Barrett, Kenneth Fink, Rob Hardy","Marc Guggenheim, Greg Berlanti, Andrew Kreisberg, Beth Schwartz, Wendy Mericle, Ben Sokolowski, Jake Coburn, Keto Shimizu, Drew Z. Greenberg, Geoff Johns, Lana Cho, Moira Kirland, Erik Oleson, Bryan Q. Miller, Brian Ford Sullivan","Stephen Amell (Oliver Queen / ...), Katie Cassidy (Laurel Lance / ...), David Ramsey (John Diggle), Willa Holland (Thea Queen), Paul Blackthorne (Quentin Lance)",42,USA,"English, Spanish, Chinese",8.2 (179903 votes),"Oliver Queen and his father are lost at sea when their luxury yacht sinks, apparently in a storm. His father dies, but Oliver survives for five years on an uncharted island and eventually returns home. But he wasn't alone on the island where he learned not only how to fight and survive but also of his father's corruption and unscrupulous business dealings. He returns to civilization a changed man, determined to put things right. He disguises himself with the hood of one of his mysterious island mentors, arms himself with a bow and sets about hunting down the men and women who have corrupted his city"
2,1190080,2012 (I) (2009),2009,"Action, Adventure, Sci-Fi",Roland Emmerich,"Roland Emmerich, Harald Kloser","John Cusack (Jackson Curtis), Amanda Peet (Kate Curtis), Chiwetel Ejiofor (Adrian Helmsley), Thandie Newton (Laura Wilson), Oliver Platt (Carl Anheuser)",158,USA,"English, French, Tibetan, Mandarin, Russian, Hindi, Portuguese, Latin, Italian",5.8 (233676 votes),"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world"
3,1392170,"Hunger Games, The (2012)",2012,"Adventure, Sci-Fi",Gary Ross,"Gary Ross, Suzanne Collins, Billy Ray, Suzanne Collins","Stanley Tucci (Caesar Flickerman), Wes Bentley (Seneca Crane), Jennifer Lawrence (Katniss Everdeen), Willow Shields (Primrose Everdeen), Liam Hemsworth (Gale Hawthorne)",142,USA,English,7.3 (558906 votes),"In a dystopian future, the totalitarian nation of Panem is divided between 12 districts and the Capitol. Each year two young representatives from each district are selected by lottery to participate in The Hunger Games. Part entertainment, part brutal retribution for a past rebellion, the televised games are broadcast throughout Panem. The 24 participants are forced to eliminate their competitors while the citizens of Panem are required to watch. When 16-year-old Katniss's young sister, Prim, is selected as District 12's female representative, Katniss volunteers to take her place. She and her male counterpart, Peeta, are pitted against bigger, stronger representatives, some of whom have trained for this their whole lives"
4,1870479,"""Newsroom, The"" (2012)",2012,Drama,"Alan Poul, Greg Mottola, Anthony Hemingway, Lesli Linka Glatter, Jeremy Podeswa","Aaron Sorkin, Brendan Fehily, Corinne Kingsbury, Ian Reichbach, Dana Ledoux Miller, Adam R. Perlman, Camilla Blackett, Michael Gunn, Matthew Lopez, David Handelman, Elizabeth Peterson, John Musero, Cinque Henderson, Paul Redford, Amy Rice, Gideon Yago","Jeff Daniels (Will McAvoy), Emily Mortimer (MacKenzie McHale), John Gallagher Jr. (Jim Harper), Alison Pill (Maggie Jordan), Thomas Sadoski (Don Keefer)",55,USA,English,8.7 (60098 votes),"A news team attempts to create a news show that reports the news in an ethical and reasonable way. They take real, newsworthy events from our world as they're happening (such as bin Laden's assassination, NSA spying, etc) and report on them as if they were an actual news station that followed rational and moral guidelines, in a biting criticism of our popular press and a clever blurring of art and reality"
5,1837576,"""Scandal"" (2012)",2012,"Drama, Thriller","Tom Verica, Oliver Bokelberg, Allison Liddi-Brown, Steve Robin, Jeannot Szwarc, Randall Zisk, Mark Tinker, Tony Goldwyn, Paul McCrane, Stephen Cragg, Michael Katleman, Ron Underwood, Roxann Dawson, Julie Anne Robinson","Shonda Rhimes, Matt Byrne, Heather Mitchell, Mark Fish, Mark Wilding, Jenna Bans, Chris Van Dusen, Raamla Mohamed, Zahir McGhee, Peter Noah","Kerry Washington (Olivia Pope), Darby Stanchfield (Abby Whelan), Katie Lowes (Quinn Perkins), Guillermo D?az (Huck), Jeff Perry (Cyrus Beene)",43,USA,English,8.0 (34440 votes),"When you get into trouble there's only one person to call, Olivia Pope. Olivia is a professional 'fixer' who makes problems go away before anyone even knows they exist. For the moneyed, the powerful and even the President, Olivia is a legend in her field. Her spectacular success is mostly due to her unbreakable rule of always trust your gut. No matter how careful you are, when you do damage control for a living, you're bound to cause some damage to your own life. She and her crew eat, sleep, live and breathe crisis. Each week, as the team races against the clock to defuse intriguing new problems before they become full-blown disasters, they also have to deal with their own personal issues. They may call themselves 'gladiators in suits', but little by little, Olivia and her crew begin to reveal the chinks in their armor"
6,903624,"Hobbit: An Unexpected Journey, The (2012)",2012,"Adventure, Fantasy",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson, Guillermo del Toro, J.R.R. Tolkien","Ian McKellen (Gandalf), Martin Freeman (Bilbo), Richard Armitage (Thorin), Ken Stott (Balin), Graham McTavish (Dwalin)","169, 182::(Extended Edition)","USA, New Zealand",English,8.0 (497902 votes),"Bilbo Baggins is swept into a quest to reclaim the lost Dwarf Kingdom of Erebor from the fearsome dragon Smaug. Approached out of the blue by the wizard Gandalf the Grey, Bilbo finds himself joining a company of thirteen dwarves led by the legendary warrior, Thorin Oakenshield. Their journey will take them into the Wild; through treacherous lands swarming with Goblins and Orcs, deadly Wargs and Giant Spiders, Shapeshifters and Sorcerers. Although their goal lies to the East and the wastelands of the Lonely Mountain first they must escape the goblin tunnels, where Bilbo meets the creature that will change his life forever ... Gollum. Here, alone with Gollum, on the shores of an underground lake, the unassuming Bilbo Baggins not only discovers depths of guile and courage that surprise even him, he also gains possession of Gollum's ""precious"" ring that holds unexpected and useful qualities ... A simple, gold ring that is tied to the fate of all Middle-earth in ways Bilbo cannot begin to know"
7,1345836,"Dark Knight Rises, The (2012)",2012,Action,Christopher Nolan,"Jonathan Nolan, Christopher Nolan, Christopher Nolan, David S. Goyer, Bob Kane","Christian Bale (Bruce Wayne), Gary Oldman (Commissioner Gordon), Tom Hardy (Bane), Joseph Gordon-Levitt (Blake), Anne Hathaway (Selina)",165,"USA, UK",English,8.6 (871881 votes),"Despite his tarnished reputation after the events of The Dark Knight, in which he took the rap for Dent's crimes, Batman feels compelled to intervene to assist the city and its police force which is struggling to cope with Bane's plans to destroy the city"
8,2191671,"""Elementary"" (2012)",2012,"Crime, Drama, Mystery","John Polson, Seith Mann, Guy Ferland, Andrew Bernstein, Sanaa Hamri, Jerry Levine, Larry Teng, Christine Moore, John David Coles, Peter Werner, Aaron Lipstadt","Robert Doherty, Craig Sweeny, Liz Friedman, Jeffrey Paul King, Jason Tracey, Bob Goodman, Arthur Conan Doyle, Corinne Brinkerhoff, Christopher Silber, Peter Blake, Robert Hewitt Wolfe","Jonny Lee Miller (Sherlock Holmes), Lucy Liu (Dr. Joan Watson), Aidan Quinn (Captain Thomas Gregson), Jon Michael Hill (Detective Marcus Bell)",60,USA,English,8.0 (49295 votes),"A modern take on the cases of Sherlock Holmes, with the detective now living in New York City"
9,1853728,Django Unchained (2012),2012,Western,Quentin Tarantino,Quentin Tarantino,"Jamie Foxx (Django), Christoph Waltz (Dr. King Schultz), Leonardo DiCaprio (Calvin Candie), Kerry Washington (Broomhilda von Shaft), Samuel L. Jackson (Stephen)",165,USA,"English, German, French",8.5 (680283 votes),"Former dentist, Dr. King Schultz, buys the freedom of a slave, Django, and trains him with the intent to make him his deputy bounty hunter. Instead, he is led to the site of Django's wife who is under the hands of Calvin Candie, a ruthless plantation owner"
